facilitiesPK,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,guestsIncluded,amenitiesFK
1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1
2,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1670
3,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,1,1669
4,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1667
5,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1666
6,Apartment,Entire home/apt,2,1.5,0.0,1.0,Real Bed,1,1664
7,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,4,1133
8,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,4,1662
9,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1661
10,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1660
11,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1659
12,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1658
13,Apartment,Shared room,1,1.0,1.0,1.0,Airbed,1,1484
14,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1656
15,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,0,1655
16,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1654
17,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1651
18,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1650
19,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,1635
20,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1636
21,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1637
22,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1638
23,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,2,1639
24,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,0,1640
25,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,1672
26,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1641
27,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1644
28,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,1,1645
29,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,1,1647
30,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,1631
31,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,3619
32,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,4,1649
33,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,2,1642
34,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,1673
35,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1674
36,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,1530
37,Apartment,Entire home/apt,7,1.0,2.0,7.0,Real Bed,1,1762
38,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,1,1763
39,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1767
40,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,2,1769
41,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,0,1774
42,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,0,1779
43,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1760
44,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1789
45,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,1803
46,Apartment,Entire home/apt,8,2.0,3.0,3.0,Real Bed,6,1809
47,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1819
48,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1835
49,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,1,1837
50,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,1,1840
51,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1790
52,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,4,1634
53,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1755
54,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1743
55,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1684
56,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,1,1689
57,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,0,1704
58,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1705
59,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,1,1707
60,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,139
61,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1748
62,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1713
63,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1717
64,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1718
65,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,1721
66,Apartment,Private room,1,1.0,1.0,1.0,Futon,1,1728
67,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,1729
68,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,1736
69,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1715
70,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,1,1633
71,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,1632
72,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,1,1631
73,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,0,1569
74,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,0,1571
75,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1572
76,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1574
77,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1575
78,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,1,1577
79,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,4,1568
80,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1578
81,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,2,1580
82,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1581
83,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1376
84,Apartment,Entire home/apt,6,2.0,1.0,4.0,Real Bed,1,1444
85,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1,1585
86,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,1,1586
87,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1579
88,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,1,1587
89,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1567
90,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,4,1564
91,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,1,1444
92,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1549
93,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1550
94,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1551
95,Apartment,Private room,2,1.0,1.0,1.0,Airbed,1,1552
96,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,0,1553
97,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,1566
98,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,2,1554
99,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1534
100,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1557
101,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1558
102,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1560
103,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1561
104,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,0,1563
105,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1555
106,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,40
107,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,1,1588
108,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1534
109,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1613
110,Apartment,Entire home/apt,1,1.0,0.0,1.0,Airbed,1,1614
111,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,4,1376
112,Apartment,Entire home/apt,4,1.0,0.0,1.0,Futon,2,1373
113,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,2,1617
114,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1618
115,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1534
116,Apartment,Entire home/apt,7,2.0,2.0,3.0,Real Bed,4,1619
117,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1143
118,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1226
119,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,2,1626
120,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1628
121,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1629
122,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1630
123,Apartment,Entire home/apt,1,1.0,0.0,1.0,Real Bed,2,1621
124,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,2,1590
125,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,1,1611
126,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,4,1609
127,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1592
128,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1593
129,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1594
130,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1,1595
131,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1596
132,Apartment,Shared room,2,1.0,1.0,1.0,Couch,1,1598
133,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1610
134,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,2,1599
135,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1601
136,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,2,1603
137,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1604
138,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1605
139,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,1,1534
140,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,0,1608
141,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,1600
142,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1547
143,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1845
144,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1855
145,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,1,2356
146,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2354
147,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2351
148,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,2350
149,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,1,2347
150,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,2343
151,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2337
152,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,2330
153,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,2328
154,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2327
155,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,0,2326
156,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,2319
157,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2311
158,Apartment,Entire home/apt,5,1.0,1.0,1.0,Real Bed,2,2303
159,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2300
160,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,2297
161,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,2,2296
162,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,2247
163,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,2248
164,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,2,351
165,Apartment,Private room,2,1.5,1.0,1.0,Futon,1,2252
166,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2255
167,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,2,2258
168,Apartment,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,1,2357
169,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,2,2261
170,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,1,1177
171,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,2271
172,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,2275
173,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2286
174,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,2289
175,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2290
176,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2263
177,Apartment,Shared room,1,1.0,1.0,1.0,Futon,1,2359
178,Apartment,Shared room,1,1.0,1.0,1.0,Futon,1,2360
179,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,2,2363
180,Apartment,Entire home/apt,3,1.0,2.0,3.0,Real Bed,1,2415
181,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,2418
182,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,1903
183,Apartment,Entire home/apt,6,1.0,1.0,2.0,Real Bed,1,2424
184,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,2,2430
185,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,2431
186,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,2,2414
187,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,2436
188,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,2461
189,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,2,2463
190,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,2465
191,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,677
192,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2473
193,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,2475
194,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2447
195,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,2,2245
196,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2412
197,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,3,1147
198,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,2366
199,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,3,2367
200,Apartment,Entire home/apt,3,1.0,1.0,2.0,Airbed,1,2369
201,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,2372
202,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,1,2375
203,Apartment,Entire home/apt,8,2.0,3.0,3.0,Real Bed,1,2376
204,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,2411
205,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,6,2378
206,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,2380
207,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,2387
208,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,577
209,Apartment,Shared room,3,1.0,1.0,2.0,Pull-out Sofa,1,2389
210,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2390
211,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,1716
212,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,2379
213,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,2,2244
214,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2216
215,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,1,2215
216,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1973
217,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1976
218,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1979
219,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1981
220,Apartment,Entire home/apt,5,1.0,2.0,6.0,Real Bed,1,1982
221,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,3,14
222,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1972
223,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,1,2009
224,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,2020
225,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2023
226,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,2032
227,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2044
228,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,0,2045
229,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,2046
230,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,2014
231,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,2,2047
232,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,1968
233,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1961
234,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,4,1856
235,Apartment,Shared room,2,1.0,1.0,1.0,Pull-out Sofa,1,1867
236,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1877
237,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1881
238,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1882
239,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,734
240,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,3,1963
241,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1886
242,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1928
243,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,1,1929
244,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,5
245,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1943
246,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1954
247,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,3,1955
248,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,4,1911
249,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1851
250,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,3619
251,Apartment,Shared room,2,1.0,1.0,2.0,Futon,2,2061
252,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,2127
253,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,2,2128
254,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,1,2131
255,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2139
256,Apartment,Shared room,4,1.0,1.0,1.0,Couch,1,2141
257,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,1,2144
258,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2122
259,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,1,2174
260,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,2182
261,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,2184
262,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2192
263,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,1,2196
264,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,0,2206
265,Apartment,Entire home/apt,7,1.0,2.0,3.0,Real Bed,4,2212
266,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,2181
267,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1,2052
268,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2114
269,Apartment,Shared room,1,1.0,1.0,1.0,Futon,1,2107
270,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,0,2062
271,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,6,2063
272,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,2066
273,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,2071
274,Apartment,Entire home/apt,5,1.0,1.0,4.0,Real Bed,2,2072
275,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,1,2074
276,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,2111
277,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,2081
278,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,2087
279,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,2,2095
280,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,1,2096
281,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,2098
282,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,2101
283,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,1,2103
284,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,2086
285,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1444
286,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1545
287,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1544
288,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,0,1315
289,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1314
290,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,1,1313
291,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,2,1201
292,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1310
293,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1307
294,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1304
295,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,1,1302
296,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1301
297,Apartment,Entire home/apt,6,1.0,0.0,3.0,Real Bed,2,1300
298,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,2,1299
299,Apartment,Entire home/apt,9,2.5,3.0,7.0,Real Bed,1,1296
300,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1295
301,Apartment,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,1,1294
302,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1293
303,Apartment,Entire home/apt,4,1.5,1.0,2.0,Real Bed,1,1292
304,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1290
305,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1275
306,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,1,1276
307,Apartment,Entire home/apt,7,2.0,2.0,4.0,Real Bed,1,1278
308,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1279
309,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,1,1280
310,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,1,1281
311,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1271
312,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1282
313,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1284
314,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1285
315,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,1,1286
316,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,1,1225
317,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,1,1288
318,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,1,1289
319,Apartment,Entire home/apt,7,2.0,3.0,3.0,Real Bed,1,1283
320,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,1220
321,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,696
322,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1320
323,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,1,1350
324,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1,1351
325,Apartment,Entire home/apt,8,2.0,3.0,5.0,Real Bed,1,1352
326,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1353
327,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,2,1355
328,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1356
329,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1349
330,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1357
331,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,2,1359
332,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1362
333,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1363
334,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,2,1364
335,Apartment,Entire home/apt,7,2.0,3.0,3.0,Real Bed,1,1365
336,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1366
337,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,1,1313
338,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1274
339,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1346
340,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,1,1342
341,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1321
342,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,1,1325
343,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,1,1326
344,Apartment,Entire home/apt,2,2.0,1.0,2.0,Real Bed,1,1327
345,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,6,1263
346,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,2,1331
347,Apartment,Entire home/apt,8,2.0,3.0,5.0,Real Bed,1,1313
348,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1332
349,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1334
350,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,1,1279
351,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1337
352,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1338
353,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,1,1339
354,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1340
